time, MasterClock,ClkStage,Accumulator,DataAddress,DataIn,DataOut,Write,InstructionAddress,FetchNext,InstructionIn,InstructionRegister
89,1,2,0,1,1,0,0,1e,0,a0,43,
90,1,0,0,1,1,0,0,1f,0,88,a0,88,[44]:       zero
91,1,1,0,1,1,0,0,1f,0,88,a0,
92,1,2,0,1,1,0,1,1f,0,88,a0,
93,1,0,0,1,1,0,0,20,0,60,88,60,[45]:       save 0      # get a 0 into reg 0
94,1,1,0,1,1,0,0,20,0,60,88,
95,1,2,0,1,1,0,0,20,0,60,88,
96,1,0,0,1,1,0,0,21,0,8c,60,8c,[46]:       one
97,1,1,0,1,1,0,0,21,0,8c,60,
98,1,2,0,1,1,0,0,21,0,8c,60,
99,1,0,0,1,1,0,0,22,0,61,8c,61,[47]:       save 1      # get a 1 into reg 1
100,1,1,0,1,1,0,0,22,0,61,8c,
101,1,2,1,1,1,0,0,22,0,61,8c,
102,1,0,1,1,1,0,0,23,0,0,61,00,[49]:       and 0
103,1,1,1,1,1,0,0,23,0,0,61,
104,1,2,1,1,1,0,0,23,0,0,61,
105,1,0,1,1,1,0,0,24,0,a0,0,a0,[50]:       out       # 1 and 0 => 0
106,1,1,1,1,1,0,0,24,0,a0,0,
107,1,2,0,1,1,0,0,24,0,a0,0,
108,1,0,0,1,1,0,0,25,0,8c,a0,8c,[52]:       one
109,1,1,0,1,1,0,0,25,0,8c,a0,
110,1,2,0,1,1,0,1,25,0,8c,a0,
111,1,0,0,1,1,0,0,26,0,1,8c,01,[53]:       and 1
112,1,1,0,1,1,0,0,26,0,1,8c,
113,1,2,1,1,1,0,0,26,0,1,8c,
114,1,0,1,1,1,0,0,27,0,a0,1,a0,[54]:       out       # should be 1
115,1,1,1,1,1,0,0,27,0,a0,1,
116,1,2,1,1,1,0,0,27,0,a0,1,
117,1,0,1,1,1,1,0,28,0,88,a0,88,[56]:       zero
118,1,1,1,1,1,1,0,28,0,88,a0,
119,1,2,1,1,1,1,1,28,0,88,a0,
120,1,0,1,1,1,0,0,29,0,1,88,01,[57]:       and 1
121,1,1,1,1,1,0,0,29,0,1,88,
122,1,2,0,1,1,0,0,29,0,1,88,
123,1,0,0,1,1,0,0,2a,0,a0,1,a0,[58]:       out       # should be zero
124,1,1,0,1,1,0,0,2a,0,a0,1,
125,1,2,0,1,1,0,0,2a,0,a0,1,
126,1,0,0,1,1,0,0,2b,0,88,a0,88,[60]:       zero
127,1,1,0,1,1,0,0,2b,0,88,a0,
128,1,2,0,1,1,0,1,2b,0,88,a0,
129,1,0,0,1,1,0,0,2c,0,0,88,00,[61]:       and 0
130,1,1,0,1,1,0,0,2c,0,0,88,
