	OpCode	Extra	Instruction	19	18	17	16	15	14	13	12	11	10	9	8	7	5	6	4	3	2	1	0
																							Sel0
																						Sel1	
																					Sel2		
																				Accumulator  WE			
																			Registers WE				
																		Registers OE					
																	DataOut OE						
																Write							
															AddressOut Load/Count								
														AddressOut Count Up									
													AddressCounterEnable										
												Program Counter JMPT support											
											ProgramCounter Load/Down												
										ProgramCounter Count Down													
									ProgramCounter Source														
								FetchNextByte															
							ProgramStack WE																
						ProgramStack OE (??)																	
					StackPointer Load/Down																		
				StackPointer Count Up																			
26	011010	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
26.5	011010	1		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27	011011	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
27.5	011011	1		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28	011100	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
28.5	011100	1		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29	011101	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
29.5	011101	1		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30	011110	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
30.5	011110	1		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31	011111	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
31.5	011111	1		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
32	100000	0	NOT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1
32.5	100000	1		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
33	100001	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
33.5	100001	1		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
34	100010	0	ZERO	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
34.5	100010	1		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
35	100011	0	ONE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
35.5	100011	1		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
36	100100	0	RET	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
36.5	100100	1		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
37	100101	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
